Sensor Name,Sensor Type,Timestamp,Temperature ( F ),Humidity ( RH ),Dew Point ( F ),Heat Index ( F ),Feels Like,Wind Chill,Barometric Pressure ( INHG ),Accumulated Rain,Wind Speed,Wind Average,Wind Direction,Wired Sensor Temperature,Wired Sensor Humidity,Soil & Liquid Temperature,Water Detected,UV Index,Light Intensity,Measured Light,Lightning Strike Count,Lightning Closest Strike Distance
Back Fence,Temp & Humidity Sensor,2022/02/02 12:00 AM,26.7,77.0,20.5,26.7,,,30.45,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 12:05 AM,26.7,76.0,20.2,26.7,,,30.45,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 12:10 AM,26.6,76.0,20.1,26.6,,,30.45,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 12:15 AM,26.6,79.0,21.0,26.6,,,30.45,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 12:20 AM,26.4,80.0,21.1,26.4,,,30.45,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 12:25 AM,26.4,80.0,21.1,26.4,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 12:30 AM,26.6,82.0,21.9,26.6,,,30.45,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 12:35 AM,26.6,82.0,21.9,26.6,,,30.45,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 12:40 AM,26.4,84.0,22.2,26.4,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 12:45 AM,26.4,86.0,22.8,26.4,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 12:50 AM,26.2,86.0,22.6,26.2,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 12:55 AM,25.8,84.0,21.6,25.8,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 1:00 AM,25.8,83.0,21.4,25.8,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 1:05 AM,26.0,87.0,22.7,26.0,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 1:10 AM,26.0,88.0,22.9,26.0,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 1:15 AM,25.7,87.0,22.4,25.7,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 1:20 AM,25.7,86.0,22.1,25.7,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 1:25 AM,25.7,87.0,22.4,25.7,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 1:30 AM,25.5,87.0,22.2,25.5,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 1:35 AM,25.8,88.0,22.7,25.8,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 1:40 AM,25.5,88.0,22.5,25.5,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 1:45 AM,25.5,87.0,22.2,25.5,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 1:50 AM,25.5,87.0,22.2,25.5,,,30.43,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 1:55 AM,25.5,88.0,22.5,25.5,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 2:00 AM,25.1,87.0,21.8,25.1,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 2:05 AM,25.1,87.0,21.8,25.1,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 2:10 AM,25.1,86.0,21.5,25.1,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 2:15 AM,24.9,86.0,21.3,24.9,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 2:20 AM,25.1,87.0,21.8,25.1,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 2:25 AM,25.1,87.0,21.8,25.1,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 2:30 AM,24.8,86.0,21.2,24.8,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 2:35 AM,24.8,85.0,20.9,24.8,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 2:40 AM,24.8,85.0,20.9,24.8,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 2:45 AM,24.8,85.0,20.9,24.8,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 2:50 AM,24.8,87.0,21.5,24.8,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 2:55 AM,24.8,89.0,22.0,24.8,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 3:00 AM,24.6,89.0,21.8,24.6,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 3:05 AM,24.6,88.0,21.6,24.6,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 3:10 AM,24.8,87.0,21.5,24.8,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 3:15 AM,24.6,88.0,21.6,24.6,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 3:20 AM,24.4,88.0,21.4,24.4,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 3:25 AM,24.4,88.0,21.4,24.4,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 3:30 AM,24.4,91.0,22.2,24.4,,,30.44,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 3:35 AM,24.4,92.0,22.4,24.4,,,30.43,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2022/02/02 3:40 AM,24.4,92.0,22.4,24.4,,,30.43,,,,,,,,,,,,,
