Name,Notes,3,4,5,6,7
Date ▲,Station Number,Station Name,State,County,Frost Coverage,View
10/21/2022 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  50%-75% coverage   , View
10/20/2022 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  50%-75% coverage   , View
12/7/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
3/20/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  50%-75% coverage   , View
3/10/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
3/9/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  50%-75% coverage   , View
3/8/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  Greater than 75% coverage   , View
3/6/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
3/5/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
3/4/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  25%-50% coverage   , View
2/25/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/24/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  50%-75% coverage   , View
2/23/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  Greater than 75% coverage   , View
2/22/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/21/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  Greater than 75% coverage   , View
2/20/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  Greater than 75% coverage   , View
2/19/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/18/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/17/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/16/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/15/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/14/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/13/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/12/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/11/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/10/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/9/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/8/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  Greater than 75% coverage   , View
2/7/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/6/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  Greater than 75% coverage   , View
2/5/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/4/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  Greater than 75% coverage   , View
2/3/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/2/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
2/1/2021 , NC-CH-41 , Pittsboro 3.3 NNW ,NC,Chatham,  No frost   , View
