Sensor Name,Sensor Type,Timestamp,Temperature ( F ),Humidity ( RH ),Dew Point ( F ),Heat Index ( F ),Feels Like,Wind Chill,Barometric Pressure ( INHG ),Accumulated Rain,Wind Speed,Wind Average,Wind Direction,Wired Sensor Temperature,Wired Sensor Humidity,Soil & Liquid Temperature,Water Detected,UV Index,Light Intensity,Measured Light,Lightning Strike Count,Lightning Closest Strike Distance
Back Fence,Temp & Humidity Sensor,2019/11/16 12:00 AM,44.7,67.0,34.4,42.0,,,30.1,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 12:05 AM,44.9,68.0,35.0,42.3,,,30.1,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 12:10 AM,45.1,68.0,35.2,42.5,,,30.1,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 12:15 AM,45.3,67.0,35.0,42.7,,,30.1,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 12:20 AM,45.3,66.0,34.6,42.6,,,30.1,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 12:25 AM,45.5,67.0,35.2,42.9,,,30.1,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 12:30 AM,45.5,65.0,34.4,42.8,,,30.1,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 12:35 AM,45.5,66.0,34.8,42.9,,,30.1,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 12:40 AM,45.6,64.0,34.1,42.9,,,30.1,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 12:45 AM,45.6,64.0,34.1,42.9,,,30.09,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 12:50 AM,45.8,62.0,33.5,43.0,,,30.09,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 12:55 AM,46.0,62.0,33.7,43.2,,,30.09,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 1:00 AM,45.8,63.0,33.9,43.0,,,30.09,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 1:05 AM,45.6,62.0,33.3,42.8,,,30.09,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 1:10 AM,45.8,61.0,33.1,42.9,,,30.08,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 1:15 AM,45.5,63.0,33.6,42.7,,,30.08,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 1:20 AM,45.6,62.0,33.3,42.8,,,30.08,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 1:25 AM,45.5,62.0,33.2,42.7,,,30.08,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 1:30 AM,45.6,63.0,33.7,42.8,,,30.08,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 1:35 AM,45.8,61.0,33.1,42.9,,,30.08,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 1:40 AM,46.0,62.0,33.7,43.2,,,30.08,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 1:45 AM,45.8,62.0,33.5,43.0,,,30.08,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 1:50 AM,45.8,63.0,33.9,43.0,,,30.08,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 1:55 AM,45.8,63.0,33.9,43.0,,,30.08,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 2:00 AM,46.2,61.0,33.5,43.4,,,30.08,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 2:05 AM,46.5,60.0,33.4,43.7,,,30.08,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 2:10 AM,46.5,60.0,33.4,43.7,,,30.08,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 2:15 AM,46.5,61.0,33.8,43.7,,,30.08,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 2:20 AM,47.3,56.0,32.4,44.4,,,30.08,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 2:25 AM,46.9,60.0,33.8,44.1,,,30.09,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/11/16 2:30 AM,47.1,59.0,33.5,44.3,,,30.09,,,,,,,,,,,,,
