Sensor Name,Sensor Type,Timestamp,Temperature ( F ),Humidity ( RH ),Dew Point ( F ),Heat Index ( F ),Feels Like,Wind Chill,Barometric Pressure ( INHG ),Accumulated Rain,Wind Speed,Wind Average,Wind Direction,Wired Sensor Temperature,Wired Sensor Humidity,Soil & Liquid Temperature,Water Detected,UV Index,Light Intensity,Measured Light,Lightning Strike Count,Lightning Closest Strike Distance
Back Fence,Temp & Humidity Sensor,2019/12/16 12:00 AM,35.4,96.0,34.4,35.4,,,30.17,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 12:05 AM,35.2,96.0,34.2,35.2,,,30.17,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 12:10 AM,35.2,96.0,34.2,35.2,,,30.17,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 12:15 AM,35.4,96.0,34.4,35.4,,,30.17,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 12:20 AM,35.6,95.0,34.3,35.6,,,30.16,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 11:00 AM,62.4,66.0,50.9,61.4,,,30.2,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 11:05 AM,63.1,64.0,50.7,62.1,,,30.19,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 11:10 AM,62.9,65.0,50.9,61.9,,,30.19,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 11:15 AM,63.5,64.0,51.1,62.6,,,30.19,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 11:20 AM,62.7,63.0,49.9,61.6,,,30.19,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 11:25 AM,62.2,65.0,50.3,61.2,,,30.18,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 11:30 AM,62.6,64.0,50.2,61.6,,,30.18,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 11:35 AM,63.5,62.0,50.2,62.5,,,30.18,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 11:40 AM,63.3,62.0,50.1,62.2,,,30.18,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 11:45 AM,62.9,63.0,50.1,61.9,,,30.18,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 11:50 AM,63.3,63.0,50.5,62.3,,,30.17,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 11:55 AM,64.5,63.0,51.6,63.6,,,30.17,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 12:00 PM,65.8,61.0,52.0,64.9,,,30.16,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 12:05 PM,67.2,58.0,51.9,66.3,,,30.16,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 12:10 PM,67.4,55.0,50.7,66.4,,,30.15,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 12:15 PM,68.7,54.0,51.4,67.8,,,30.15,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 12:20 PM,71.0,53.0,53.0,70.3,,,30.15,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 12:25 PM,71.6,51.0,52.5,70.9,,,30.15,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 12:30 PM,71.2,51.0,52.1,70.4,,,30.15,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 12:35 PM,69.8,51.0,50.8,68.9,,,30.14,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 12:40 PM,70.1,51.0,51.1,69.2,,,30.14,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 12:45 PM,70.7,51.0,51.7,69.9,,,30.14,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 12:50 PM,69.0,52.0,50.6,68.0,,,30.13,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 12:55 PM,68.7,53.0,50.9,67.8,,,30.13,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 1:00 PM,69.4,53.0,51.5,68.5,,,30.13,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 1:05 PM,71.6,50.0,52.0,70.8,,,30.12,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 1:10 PM,69.9,51.0,50.9,69.0,,,30.12,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 1:15 PM,71.9,51.0,52.8,71.2,,,30.12,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 1:20 PM,73.4,50.0,53.6,72.8,,,30.12,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 1:25 PM,70.7,50.0,51.1,69.8,,,30.11,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 1:30 PM,68.7,51.0,49.8,67.7,,,30.11,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 1:35 PM,68.5,50.0,49.1,67.4,,,30.11,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 1:40 PM,69.2,50.0,49.8,68.2,,,30.11,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 1:45 PM,68.7,50.0,49.3,67.6,,,30.11,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 1:50 PM,69.0,50.0,49.6,67.9,,,30.11,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 1:55 PM,70.1,50.0,50.6,69.2,,,30.11,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 2:00 PM,69.4,50.0,49.9,68.4,,,30.1,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 2:05 PM,69.8,48.0,49.2,68.7,,,30.1,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 2:10 PM,69.2,49.0,49.2,68.1,,,30.1,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 2:15 PM,69.9,47.0,48.7,68.8,,,30.1,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 2:20 PM,68.7,49.0,48.8,67.6,,,30.1,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 2:25 PM,69.0,49.0,49.0,67.9,,,30.1,,,,,,,,,,,,,
Back Fence,Temp & Humidity Sensor,2019/12/16 2:30 PM,68.7,49.0,48.8,67.6,,,30.09,,,,,,,,,,,,,
