Observation,precip (in),Notes,spilled,frozen precipitation measure?,Trace,Group by month,Group by day
1/1/2019 09:50,0.01,,,,,1,1
1/2/2019 17:10,0.00,,,,,1,2
1/3/2019 08:34,0.25,Yesterday the ground was sodden. Don't know where this will go.,,,,1,3
1/4/2019 10:31,0.19,"Still drizzling. Standing water in upper part of courtyard drain bed, none standing in rain garden",,,,1,4
1/5/2019 13:22,0.36,"Dawn clear, finally, with Venus bright. Windy.",,,,1,5
1/6/2019 09:00,0.00,Dew,,,checked,1,6
1/7/2019 08:12,0.00,,,,,1,7
1/9/2019 12:30,0.00,,,,,1,9
1/11/2019 07:40,0.00,,,,,1,11
1/13/2019 10:55,0.98,Started mid afternoon on Saturday with Sleet.,,,,1,13
1/14/2019 09:00,0.01,,,,,1,14
1/15/2019 09:56,,dew,,,checked,1,15
1/16/2019 14:50,0.00,,,,,1,16
1/17/2019 18:00,,just beginning to drizzle,,,checked,1,17
1/18/2019 12:45,0.02,,,,,1,18
1/19/2019 14:00,0.02,,,,,1,19
1/20/2019 18:30,0.73,,,,,1,20
1/23/2019 08:30,,Not sure where it came from -- so very cold!,,,checked,1,23
1/24/2019 12:35,1.00,,,,,1,24
1/27/2019 13:00,0.01,,,,,1,27
1/30/2019 07:28,0.22,"Tues e e rain, froze over ight",,,,1,30
1/26/2019 12:00,0.00,,,,,1,26
2/10/2019 17:00,0.00,it has been dry for days and days.,,,,2,10
2/11/2019 07:06,0.01,,,,,2,11
2/12/2019 08:53,0.19,,,,,2,12
2/13/2019 11:21,0.22,,,,,2,13
2/15/2019 16:00,0.00,,,,,2,15
2/16/2019 07:10,0.32,Looks like a wet spell is upon us.,,,,2,16
2/17/2019 09:50,0.31,,,,,2,17
2/18/2019 12:41,0.39,,,,,2,18
2/19/2019 12:10,,Left in tube from previous day?,,,checked,2,19
2/20/2019 08:13,0.33,,,,,2,20
2/21/2019 07:58,0.59,,,,,2,21
2/22/2019 08:47,0.48,,,,,2,22
2/23/2019 08:25,0.79,,,,,2,23
2/24/2019 09:16,0.93,Haw crested at 15.13 ft this mornng at 5 am. Brooks Creek was near top of banks last night.,,,,2,24
