Observation,precip (in),Notes,spilled,frozen precipitation measure?,Trace,Group by month,Group by day,Recorded
1/1/2020 08:53,0.00,Crisp frosty bluesky morning,,,,1,1,1/1/2020 08:54
1/2/2020 08:07,0.00,Sun shine & bluesky.,,,,1,2,1/2/2020 08:09
1/3/2020 07:10,0.41,,,,,1,3,1/3/2020 07:11
1/4/2020 08:20,125.00,.88 +0.37= 1.25 Light rain at measurement.,,,,1,4,1/4/2020 08:24
1/5/2020 08:40,0.14,Downpour late afternoon. Clear and windy around 10pm. Clear at 6:15 and at observation. Frost on roof of car and between 25% and 50d of garage.,,,,1,5,1/5/2020 08:43
1/6/2020 08:15,0.00,"Crisp, bright, frosty",,,,1,6,1/6/2020 08:18
1/7/2020 08:46,0.01,"Damp and overcast, with bright eastern horizon.. Surprised by Water ( frozen) in measurement tube although deck, sidewalk damp. No frost on roof.",,,,1,7,1/7/2020 09:07
1/8/2020 07:45,0.08,Actually measured evening of 7th. Did not promptly record. I'm pretty sure my memory is correct (wrote it down later) but not 100%. Still reporting to CoCORaHS,,,,1,8,1/9/2020 07:26
1/9/2020 08:23,0.00,Bright clear blue skies and crisp. ,,,,1,9,1/9/2020 08:24
1/10/2020 07:40,0.00,overcast,,,,1,10,1/10/2020 08:18
1/11/2020 09:00,,overcast and warm,,,checked,1,11,1/11/2020 09:04
1/12/2020 08:13,0.50,,,,,1,12,1/12/2020 08:14
1/13/2020 08:35,0.17,Warm. Light rain at time of measurement.,,,,1,13,1/13/2020 08:40
1/14/2020 08:23,0.75,wet but not raining ,,,,1,14,1/14/2020 08:24
1/15/2020 08:17,0.07,overcast and cooler than recent ridiculous warmth.,,,,1,15,1/15/2020 08:19
1/16/2020 09:00,0.00,,,,,1,16,1/16/2020 20:03
1/17/2020 07:41,0.00,Moon hazy bluesky with light clouds. Pink sunrise a little Earlier.,,,,1,17,1/17/2020 07:42
1/18/2020 08:21,0.00,Overcast and gloomy,,,,1,18,1/18/2020 08:21
1/19/2020 16:04,0.09,,,,,1,19,1/19/2020 16:05
