School Name,Site Name,Userid,Latitude,Longitude,Elevation,Measured At,Solar Measured At,Observation Id,Cloud Cover,Sky Color,Sky Clarity,Nimbostratus,Cumulonimbus,Stratocumulus,Stratus,Cumulus,Altostratus,Altocumulus,Cirrostratus,Cirrocumulus,Cirrus,Fog,Smoke,Haze,Volcanic Ash,Dust,Sand,Spray,Heavy Rain,Heavy Snow,Blowing Snow,Contrail Cover Deprecated,Short Lived Contrails,Spreading Contrails,Non Spreading Contrails,Cloud Cover Low,Opacity Low,Cloud Cover Mid,Opacity Mid,Cloud Cover High,Opacity High,Snow Ice,Standing Water,Muddy,Dry Ground,Leaves On Trees,Raining Snowing,Is Citizen Science,Is Globe Trained
United States of America Citizen Science,17SPV637595,83587344,35.76594,-79.18912,132.4,2024-01-12 13:46:00,2024-01-12 08:20:00,116-251124-83587344-202401121346,overcast,,,,,,,,,,X,X,,,,,,,,,,,,,0,0,0,,,,,overcast,translucent,,,,X,,,X,
United States of America Citizen Science,17SPV637595,83587344,35.76594,-79.18912,132.4,2024-01-15 13:06:00,2024-01-15 07:39:00,116-251124-83587344-202401151306,overcast,,,,,,,,X,,,,,,,,,,,,,,,,0,0,0,,,,opaque,,,,,,,,,X,
United States of America Citizen Science,17SPV637595,83587344,35.76594,-79.18912,132.4,2024-01-18 13:17:00,2024-01-18 07:48:00,116-251124-83587344-202401181317,scattered,blue,clear,,,,,,,X,,,,,,,,,,,,,,,0,2,1,,,isolated,translucent,,,,,,X,,,X,
United States of America Citizen Science,17SPV637595,83587344,35.76594,-79.18912,132.4,2024-01-19 13:15:00,2024-01-19 07:46:00,116-251124-83587344-202401191315,clear,blue,somewhat hazy,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,X,
United States of America Citizen Science,17SPV637595,83587344,35.76594,-79.18912,132.4,2024-01-28 13:48:00,2024-01-28 08:16:00,116-251124-83587344-202401281348,scattered,deep blue,clear,,,,,X,,,,,,,,,,,,,,,,,,,,scattered,translucent,,,,,,,,,,,X,
United States of America Citizen Science,17SPV637595,83587344,35.76594,-79.18912,132.4,2024-01-31 13:28:00,2024-01-31 07:56:00,116-251124-83587344-202401311328,overcast,,,,,,,,X,,,,,,,,,,,,,,,,0,0,0,,,overcast,opaque,,,,,,,,X,X,
United States of America Citizen Science,17SPV637595,83587344,35.76594,-79.18912,132.4,2024-01-29 13:06:00,2024-01-29 07:34:00,116-251124-83587344-202401291306,none,deep blue,clear,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,X,,,X,
United States of America Citizen Science,17SPV637595,83587344,35.76594,-79.18912,132.4,2024-02-01 13:29:00,2024-02-01 07:57:00,116-251124-83587344-202402011329,clear,deep blue,clear,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,X,
United States of America Citizen Science,17SPV637595,83587344,35.76594,-79.18912,132.4,2024-02-05 13:20:00,2024-02-05 07:47:00,116-251124-83587344-202402051320,overcast,,,,,,,,,,X,,,,,,,,,,,,,,0,0,1,,,,,overcast,transparent,,,,X,,,X,
United States of America Citizen Science,17SPV637595,83587344,35.76594,-79.18912,132.4,2024-02-07 13:12:00,2024-02-07 07:39:00,116-251124-83587344-202402071312,none,blue,clear,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,X,,,X,
United States of America Citizen Science,17SPV637595,83587344,35.76594,-79.18912,132.4,2024-02-10 13:47:00,2024-02-10 08:14:00,116-251124-83587344-202402101347,overcast,,,,,,,,,,X,,,,,,,,,,,,,,0,0,0,,,,,overcast,transparent,,,,,,,X,
