Sensor Name,Sensor Type,Timestamp,Temperature ( F ),Humidity ( RH ),Dew Point ( F ),Heat Index ( F ),Feels Like,Wind Chill,Barometric Pressure ( INHG ),Accumulated Rain,Wind Speed,Wind Average,Wind Direction,Wired Sensor Temperature,Wired Sensor Humidity,Soil & Liquid Temperature,Water Detected,UV Index,Light Intensity,Measured Light,Lightning Strike Count,Lightning Closest Strike Distance
In home  (w/display),Temp & Humidity Sensor,2026/04/01 12:00 AM,71.4,53.0,53.4,70.7,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 12:05 AM,71.4,53.0,53.4,70.7,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 12:10 AM,71.4,53.0,53.4,70.7,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 12:15 AM,71.4,53.0,53.4,70.7,,,30.21,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 12:20 AM,71.2,53.0,53.2,70.5,,,30.21,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 12:25 AM,71.4,53.0,53.4,70.7,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 12:30 AM,71.4,53.0,53.4,70.7,,,30.21,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 12:35 AM,71.4,53.0,53.4,70.7,,,30.21,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 12:40 AM,71.4,52.0,52.8,70.7,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 12:45 AM,71.6,52.0,53.0,70.9,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 12:50 AM,71.7,52.0,53.1,71.0,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 12:55 AM,71.4,53.0,53.4,70.7,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 1:00 AM,71.4,53.0,53.4,70.7,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 1:05 AM,71.2,53.0,53.2,70.5,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 1:10 AM,71.2,53.0,53.2,70.5,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 1:15 AM,71.2,53.0,53.2,70.5,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 1:20 AM,71.0,54.0,53.5,70.3,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 1:25 AM,71.2,53.0,53.2,70.5,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 1:30 AM,71.4,52.0,52.8,70.7,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 1:35 AM,71.6,52.0,53.0,70.9,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 1:40 AM,71.4,52.0,52.8,70.7,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 1:45 AM,71.2,53.0,53.2,70.5,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 1:50 AM,71.2,53.0,53.2,70.5,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 1:55 AM,71.2,53.0,53.2,70.5,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 2:00 AM,71.0,53.0,53.0,70.3,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 2:05 AM,70.8,53.0,52.8,70.1,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 2:10 AM,70.8,54.0,53.3,70.1,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 2:15 AM,71.0,53.0,53.0,70.3,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 2:20 AM,71.2,52.0,52.7,70.5,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 2:25 AM,71.4,52.0,52.8,70.7,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 2:30 AM,71.2,52.0,52.7,70.5,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 2:35 AM,71.2,53.0,53.2,70.5,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 2:40 AM,71.0,53.0,53.0,70.3,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 2:45 AM,70.8,53.0,52.8,70.1,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 2:50 AM,70.8,53.0,52.8,70.1,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 2:55 AM,70.8,53.0,52.8,70.1,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 3:00 AM,70.7,53.0,52.7,70.0,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 3:05 AM,70.8,53.0,52.8,70.1,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 3:10 AM,71.2,52.0,52.7,70.5,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 3:15 AM,71.2,52.0,52.7,70.5,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 3:20 AM,70.8,52.0,52.3,70.0,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 3:25 AM,70.8,53.0,52.8,70.1,,,30.19,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 3:30 AM,70.8,53.0,52.8,70.1,,,30.19,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 3:35 AM,70.7,53.0,52.7,70.0,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 3:40 AM,70.7,53.0,52.7,70.0,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 3:45 AM,70.7,53.0,52.7,70.0,,,30.19,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 3:50 AM,70.7,53.0,52.7,70.0,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 3:55 AM,70.8,52.0,52.3,70.0,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 4:00 AM,71.0,52.0,52.5,70.2,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 4:05 AM,70.8,52.0,52.3,70.0,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 4:10 AM,70.8,52.0,52.3,70.0,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 4:15 AM,70.7,53.0,52.7,70.0,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 4:20 AM,70.7,53.0,52.7,70.0,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 4:25 AM,70.7,53.0,52.7,70.0,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 4:30 AM,70.5,53.0,52.5,69.7,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 4:35 AM,70.3,53.0,52.3,69.5,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 4:40 AM,70.5,53.0,52.5,69.7,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 4:45 AM,70.7,53.0,52.7,70.0,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 4:50 AM,70.8,52.0,52.3,70.0,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 4:55 AM,70.8,52.0,52.3,70.0,,,30.19,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 5:00 AM,70.7,52.0,52.2,69.9,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 5:05 AM,70.7,52.0,52.2,69.9,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 5:10 AM,70.5,52.0,52.0,69.7,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 5:15 AM,70.5,53.0,52.5,69.7,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 5:20 AM,70.3,53.0,52.3,69.5,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 5:25 AM,70.3,53.0,52.3,69.5,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 5:30 AM,70.3,53.0,52.3,69.5,,,30.2,,,,,,,,,,,,,
In home  (w/display),Temp & Humidity Sensor,2026/04/01 5:35 AM,70.5,52.0,52.0,69.7,,,30.2,,,,,,,,,,,,,
