Name,Date,Perennial Inventory,Perennial Seeding,Annuals,Action,Notes,Total,Key terms,Attachments,Attachments (from syncToGarden),syncToGarden
20260701-ToDo,2026-07-01,"""Red spider lily (OSB, 43)"",""Red spider lily (OSB, 44)"",""Red spider lily (OSB, 45)""",,,ToDo,"Divide spider lilies
divide them every few years. This is best done in the early summer when the plants are dormant.",,,,,
"20240507-Planted, Harvest, Observe",2024-05-07,"""Dahlia 'Thomas A. Edison' (GSb-M, 233)"",""Dahlia 'Wisconsin Red' (GSb-M, 232)"",""Rosalind daylily (GSSE, 231)"",""Camarosa (MANY, 224)"",""H. fulva 'Kwanso' (GSb-E, 230)"",""Polygonatum Biflorum (Smooth Solomon's Seal) (GSb-E, 258)"",""Tradescantia from Laura (GSb-E, 266)"",""Iris Louisiana 'Black Gamecock' (, 240)""",,,"Planted,Harvest,Observe","Added compost. Followed Old House garden instructions with dahlias: Made hills in the bed, dug holes in the hills ~6"", placed dahlias with stakes (also cages), then covered  partially. Mulched with chopped bearsfoot.

They might be too close, and the Wisconsin to the south might shade Thomas Edison. Can move these guys next year.

Added compost, scraped away  weeds (mainly stilt grass). Planted the two daylily fans at the base of somecutleaf coneflower, mulched with  cutleaf coneflower. 

Another strawberry harvest.

Three kwanzo fans, look great.

Six solomon seal, still spindly. Probably need the soil enriched.

Four clumps spiderlilly from Laura look great. The flowers seem more purple than some of the others i have. 

Choosing to label the first gamecock to bloom as 240. First bloom!
",,,,,
20240504-Planted,2024-05-04,"""Crocosmia x curtonus 'Lucifer' (OSB, 228)"",""Crocosmia x crocosmiiflora 'George Davidson'  (OSB, 229)"",""Phlox paniculata 'Blue Paradise' (OCZSun, 237)"",""Phlox ‘Opening Act Blush’  (OCZSun, 236)""",,,Planted,"Crocosmia: bought from country farm and home on sale, 5 corms each, orginally $3.99. from Netherland bulb company.",,,,,
20240430-Purchase,2024-04-30,"""Rosalind daylily (GSSE, 231)"",""Dahlia 'Thomas A. Edison' (GSb-M, 233)"",""Dahlia 'Wisconsin Red' (GSb-M, 232)""",,,Purchase,"Old House Gardens · W202468619

Rosalind daylily (20%)  2 16.80
Thomas Edison dahlia (20%)  1 7.20
Wisconsin Red dahlia (20%) 1 10.00 ",,,,,
20240212-Purchase,2024-02-12,"""Iris Louisiana 'Black Gamecock' (, 240)"",""Iris Louisiana 'Black Gamecock' (, 241)"",""Penstemon 'Cha Cha Cherry' (, 243)"",""Monarda didyma ‘Cherry Pops' SUGAR BUZZ® Series (, 244)"",""Phlox ‘Opening Act Blush’  (OCZSun, 236)"",""Phlox paniculata 'Blue Paradise' (OCZSun, 237)"",""'Starship Scarlet' Lobelia (, 242)"",""""""Phlox subulata 'Scarlet Flame'
"""" (, 245)"",""'Yellow Moon' Wishbone Plant (GHpot, 238)"",""'Yellow Moon' Wishbone Plant (GHpot, 239)""",,,Purchase,,,,,,
20230212-Purchase,2023-02-12,"""Polygonatum Biflorum (Smooth Solomon's Seal) (GSb-E, 258)""",,,Purchase," CaneCreekMeadows will start working on this right away. 
 We'll email you as soon as it ships. 

     Ordered   
on Feb 12     Ready to ship*     Expected delivery   
Feb 17-27    
 View your order 
 Delivery times are estimated. If you're experiencing difficulty with this order, please contact the seller. See more info. 
 Order details    Confirmation number:    2791350437  

5 Ostrich Fern Bare Root Fiddlehead Matteuccia Struthiopteris Perennial Wildflower Transplant
Transaction ID: 3432407549
Quantity: 1
$15.19
$18.99

10 Solomons Seal Plant Bare Root Polygonatum Biflorum Organic Transplant
Transaction ID: 3432407547
Quantity: 1
$15.98
$19.98
",,,,,
20230208-Purchase,2023-02-08,"""H. fulva 'Kwanso' (GSb-E, 230)"",""Chickasaw Plum (EYBS, 234)"",""Select American hazel (Rain, 235)""",,,Purchase,"Order #192 Confirmed   Your order from Feralwood Nursery is confirmed          American hazelnut  $12.00   SQ1184125    
    Qty: 1     $12.00 / Item                    
                            daylily selections  $9.00   SQ7719814    variety: Kwanso 
 Number: 3 
     Qty: 1     $9.00 / Item                    
                            wild plum selections  $12.00   SQ8026721    type: mixed thicket sucker 
     Qty: 1     $12.00 / Item ",,,,,
20221115-Wishlist,2022-11-15,,,,Wishlist,"https://www.willisorchards.com/store/cart
Items: 3
Subtotal: $14.85
Free Professional Pruning: $0.00
Shipping & Handling To NC (Change): $21.95
Sales Tax : $0.00
Total: $36.80

  xChickasaw Plum Tree   (Ships Later) 
 1-2' Seedling (Authentic) - $4.95 Ships: 12/01/2022 - 04/01/2023
    
  xReliable Mayhaw Tree   (Ships Later) 
 6-10"" (1yr. seedling) - $4.95 Ships: 12/01/2022 - 04/01/2023
    
  xBig Red Mayhaw Tree   (Ships Later) 
 6-10"" (1yr. seedling) - $4.95 Ships: 12/01/2022 - 04/01/2023
   ",,,,,
20221113-Planted,2022-11-13,"""Coleus 'Trailing Plum'  (GHpot, 220)"",""Coleus campfire (GHpot, 1)""",,,Planted,"Kanza, also have three peppers, lemongrass, salvia, two tomato plants and what else in window?",,@FIX,,,
20221112-Planted,2022-11-12,"""Amling pecan (I) (NWWdDrive, 263)"",""Paeonia 'Coral Sunset' (OCZSun, 259)""",,,Planted,"Amling, peony, mint zizia heart-leaf",,@FIX,,,
20221030-Planted,2022-10-30,"""Camarosa (MANY, 224)""",,,Planted,when?,,@FIX,,,
20220630-Purchase,2022-06-30,"""Camarosa (MANY, 224)""",,,Purchase,ClowderwoodPublic/Clowderwood/Gardens/Purchases/20220630StrawberryOrder.pdf,$33.17,CFH,,,
20220515-Planted,2022-05-15,"""Spigelia marilandica 'Little Redhead' (OSB, 260)"",""Asclepias incarnata 'Cinderella' (Rain, 261)"",""Opuntia cacanapa 'Ellisiana' (NWWdDrive, 262)""",,,Planted,"5-15: Yard: plant Plant Delights in yard,""planted cactus & milkweed

- https://www.plantdelights.com/products/matteuccia-struthiopteris-the-king-ostrich-fern-large-ferns $19 <<<*** 
    - near bench in moss glade
    - Matteuccia struthiopteris 'The King'
    - The King Ostrich Fern
    - (aka: Matteuccia 'Fanfare') Matteuccia 'The King' is an amazing selection of ostrich fern, distributed by Larry Mellichamp, who got it from NC's Powell's Garden around 1985. Matteuccia 'The King' is one of the few forms we've found that thrives in the hot, humid southeastern US, where normal ostrich ferns fear to tread. The 3' tall deciduous rosettes (6' tall under ideal conditions) spread vigorously via underground rhizomes. In nature, the deer-resistant ostrich ferns are found in moist ditches and lowlands, but also adapt well to drier garden conditions where they grow a bit shorter. Patches of Matteuccia struthiopteris 'The King' are highlighted by the 18"""" brown fertile fronds that appear in fall and persist through the winter
- https://www.plantdelights.com/products/opuntia-cacanapa-ellisiana  <<<<***
    - Opuntia cacanapa 'Ellisiana'
    - Ellisiana Spineless Prickly Pear
    - planted + 2022-05-15 near compost in NW corner with four elephants foot from N border, E section
    - near current compost (also add elephant's foot)
    - Our plant is a spineless selection of the US/Mexican native Opuntia cacanapa named 'Ellisiana'. For us, this fast-growing but compact opuntia makes a 3' tall x 6' wide deer-resistant mound (in 5 years) of 6"""" grey-green spineless pads. In August, the clump is topped with large, bright yellow flowers...a hummingbird oasis, followed by large red """"pears."""" Well-drained winter soils are vital for best performance.
- Asclepias 
    - Asclepias incarnata 'Cinderella'
    - planted + 2022-05-15 rain garden, NE quadrant
    - Cinderella's Pink Swamp Milkweed
    - Asclepias incarnata forms stunning 50"""" tall stalks, topped in summer with branched terminal heads of mauvy-pink flowers, attractive to hummingbirds and butterflies. Asclepias incarnata prefers moist-to-soggy soils but fares well in typical garden soils...barring extended droughts. A regular renaissance plant, Asclepias incarnata stays fresh in a vase as well as being a monarch butterfly indulgence.
- https://www.plantdelights.com/products/spigelia-marilandica-little-redhead 
    - Spigelia marilandica 'Little Redhead'
    - Little Redhead Indian Pink 
    - S berm
    - We received this compact form of the wonderful North American native Indian pink from plantsman and garden writer Pam Harper, who extolled its virtues after many years in her garden. Pam originally got the plant years earlier from Bob McCartney of Woodlanders Nursery. While all Spigelia marilandica are great plants, Spigelia 'Little Redhead' is more compact, topping out at 21"""" tall. The stalks are topped from mid-May until mid-July (NC) with stunning, dark blood-red, tubular flowers highlighted with yellow inside...a hummingbird delight.

"",,102.000,Done,obsolete one to five pm ,2022-05-15,2022-03-09,2022-04-13,5/16/2022 9:46am,plant Plant Delights in yard,Yard,,,Yard,5/16/2022 9:46am",,,,,
20220509-Wishlist,2022-05-09,,,,Wishlist,"plant delights
- Muhlenbergia capillaris (sun, part sun) - arc, narrow green foliage (30"" x 30"") until mid- to late August, ==> NGP
- Monarda hybrid (sun) - arc $17 v==> NGP
    - Blue moon violet early May (NC)
    - 'Bubblegum Blast bright pink flowers starting for us in early June.
    - Electric neon pink May (NC) with flower heads of fluorescent pink with cherry spots.
    -  'Leading Lady Plum' forms a compact 1' tall x 28"" ;early June (NC), with a mass of magenta/plum
- Baptisia hybrid (sun) -arc
    - Baptisia 'Blueberry Sundae' late april lavender blue
    - Baptisia 'Lighthouse' white, april 10 (early)
    - Baptisia 'Sparkling Sapphires' (small, compact) purple, late april
- Phlox
- Hexastylis aka Asarum -- https://www.plantdelights.com/products/asarum-arifolium-see-spot-run $27 - native Asarum, although perhpas wait until working a the woods trail?
- 
- https://www.plantdelights.com/products/linum-lewisii $18 blue

- Asclepias A purpurascens NC piedmont rare native, deck garden

- https://www.plantdelights.com/products/cardamine-douglassii-southern-lady ?

",,PlantDelights,,,
20220508-Purchase,2022-05-08,"""Spigelia marilandica 'Little Redhead' (OSB, 260)"",""Opuntia cacanapa 'Ellisiana' (NWWdDrive, 262)"",""Asclepias incarnata 'Cinderella' (Rain, 261)""",,,Purchase,"    Order 113096       
      Thank you for your purchase!
   Visit our store
  
     
      Order summary
              Opuntia cacanapa Ellisiana × 1
  $21.00
           Spigelia marilandica Little Redhead × 1
  $24.00
           Matteuccia struthiopteris The King × 1
  $19.00
           Asclepias incarnata Cinderella × 1
  $19.00
       
    Subtotal
  $83.00    Shipping
  $0.00    Taxes
  $0.00      Total
  $83.00 USD     
 
  Gift card
  $40.00    Visa (ending in 6972)
  $43.00",,,,,
20220321-Wishlist,2022-03-21,,,,Wishlist,"Crocus
Cloth of gold and C. tommasinianus are gold and pale lilac+white respectively and both apparently good naturalizers. Seem they should work well between Bestgrassever.  

+May 5, 2024 - i don't think cloth of gold is locally good.",,Brent&Becky,,,
