Name,Code,Inventory,Perennial Inventory,Genetics,Scientific name,Header,Terms,height (ft),Δh (ft),width (ft),Δw(ft),Google patent,Origin,Use,W2W?,History,2022 ideas,Notes,Supplier notes,Suppliers,Pollinator,Attachments,Perennial Seeding,Pollen Pairing,pecan matrix,pecan matrix 2,Pollen shed start,Pollen shed stop,Pollen receive start,Polle n receive stop,last update,Field 33,Bloom time,Flower,Foliage
Artichoke 'Imperial Star',Lost,2,"""Artichoke 'Imperial Star' (DEAD, 196)"",""Artichoke 'Imperial Star' (DEAD, 197)""",,,,,,,,,,,,,,,,,,,,,,,,,,,,8/6/2023 6:24am,,,,
Brunnera 'Diane's Gold',Interesting,0,,,,,,,,,,,Mediterranean,"deer ignore,shade,yellow&purple,spreading-rhizomes",,,,"For the front garden? Shade friendly, no herbivory
It is the only all chartreuse foliage Brunnera that holds its chartreuse color all summer.",NewGarden,,,,,,,,,,,,5/5/2024 5:31pm,,"spring,early spring",blue,chartreuse
Calamintha n. 'Marvelette Blue',,0,,,,,,,,,,,,,,,,"+Aug 20, 2023 -Looking for front walk plants",NewGarden,,,,,,,,,,,,8/20/2023 5:48pm,,"late spring,autumn",blue purple,
Comfrey [??],Lost,0,,,,,,,,,,,,,,"Lasted on berm for some years, died in 2023.",,,,,,,,,,,,,,,8/6/2023 6:25am,,,,
Gold Foil Berlandier's Sundrops,,0,,,,,,,,,,,,,,,,"+Aug 20, 2023 -Looking for front walk plants",Plant Delights,,,,,,,,,,,,8/20/2023 6:14pm,,summer,yellow,evergreen
Helenium 'Sahin's Early Flowerer',Interesting,0,,,,,,,,,,,,"landscaping,naturalizing,N berm",,,,,,Helenium 'Sahin's Early Flowerer'@New Garden,,,,,,,,,,,5/5/2024 5:31pm,,,,
Iris Dutch – Panther,,0,,,,,,,,,,,,,,,,"+Aug 20, 2023 -Looking for front walk plants",Brent Becky fall,,,,,,,,,,,,8/20/2023 6:30pm,,late spring,pink purple,
Iris Dutch – Strongold,,0,,,,,,,,,,,,,,,,"+Aug 20, 2023 -Looking for front walk plants",Brent Becky fall,,,,,,,,,,,,8/20/2023 6:30pm,,late spring,yellow,
Nepeta 'Cat's Meow',,0,,,,,,,,,,,,,,,,"+Aug 20, 2023 -Looking for front walk plants",NewGarden,,,,,,,,,,,,8/20/2023 6:03pm,,summer,blue purple,
Papaver n. 'Champagne Bubbles Yellow,,0,,,,,,,,,,,,,,,,"+Aug 20, 2023 -Looking for front walk plants",NewGarden,,,,,,,,,,,,8/20/2023 6:12pm,,"early spring,early summer",yellow,
