Name,Code,Genetics,Scientific name,Family,Header,Origin,Notes,Growing notes,Row distance,Plant distance (in),Days to harvest (avg),0215,0301,0315
Cascadia,,Clone,Solanum tuberosum,,Solanaceae: Solanum tuberosum,Americas,,,36,12,NaN,transplant,transplant,transplant
Clear Water Russet,,Clone,Solanum tuberosum,,Solanaceae: Solanum tuberosum,Americas,,,36,12,NaN,transplant,transplant,transplant
Dark Red Norland,,Clone,Solanum tuberosum,,Solanaceae: Solanum tuberosum,Americas,"moist, firm","Matures between 55 & 75 days.    -   Potatoes prefer soil that has been amended in the
Fall ... Potatoes will remove the following soil nutrients
per 1,000 sq. ft. or per acre: (Nitrogen: 2# per 1,000 sq. ft. _ 90-100# per acre) : (Phosphorus: 1# per 1,000 sq. ft. _
40-50# per acre) : (Potassium: 3.5# per 1,000 sq. ft. _ 150-170# per acre). Fall additions of Phosphorus and
Potassium are recommended; add Nitrogen in the spring. You may cover crop your beds or leave them fallow.
Potatoes DO NOT like to be next to actively decomposing green matter or to be sitting in a puddle of water. Leave
time between tillage and planting to allow green matter to break down. Build beds high enough to provide adequate
drainage. This can be done the previous fall or allow 2-6 weeks to prepare your soil before you plant.",36,12,65,transplant,transplant,transplant
Desiree,,Clone,Solanum tuberosum,,Solanaceae: Solanum tuberosum,Americas,"waxy, moist, firm","Matures between 70 & 90 days.    -   Potatoes prefer soil that has been amended in the
Fall ... Potatoes will remove the following soil nutrients
per 1,000 sq. ft. or per acre: (Nitrogen: 2# per 1,000 sq. ft. _ 90-100# per acre) : (Phosphorus: 1# per 1,000 sq. ft. _
40-50# per acre) : (Potassium: 3.5# per 1,000 sq. ft. _ 150-170# per acre). Fall additions of Phosphorus and
Potassium are recommended; add Nitrogen in the spring. You may cover crop your beds or leave them fallow.
Potatoes DO NOT like to be next to actively decomposing green matter or to be sitting in a puddle of water. Leave
time between tillage and planting to allow green matter to break down. Build beds high enough to provide adequate
drainage. This can be done the previous fall or allow 2-6 weeks to prepare your soil before you plant.",36,12,80,transplant,transplant,transplant
French Fingerling,,Clone,Solanum tuberosum,,Solanaceae: Solanum tuberosum,Americas,,,36,12,NaN,transplant,transplant,transplant
German Butterball,,Clone,Solanum tuberosum,,Solanaceae: Solanum tuberosum,Americas,dry,"Matures between 100 & 110 days.    -   Potatoes prefer soil that has been amended in the
Fall ... Potatoes will remove the following soil nutrients
per 1,000 sq. ft. or per acre: (Nitrogen: 2# per 1,000 sq. ft. _ 90-100# per acre) : (Phosphorus: 1# per 1,000 sq. ft. _
40-50# per acre) : (Potassium: 3.5# per 1,000 sq. ft. _ 150-170# per acre). Fall additions of Phosphorus and
Potassium are recommended; add Nitrogen in the spring. You may cover crop your beds or leave them fallow.
Potatoes DO NOT like to be next to actively decomposing green matter or to be sitting in a puddle of water. Leave
time between tillage and planting to allow green matter to break down. Build beds high enough to provide adequate
drainage. This can be done the previous fall or allow 2-6 weeks to prepare your soil before you plant.",36,12,105,transplant,transplant,transplant
Grocery Russet,,Clone,Solanum tuberosum,,Solanaceae: Solanum tuberosum,Americas,,,36,12,NaN,transplant,transplant,transplant
Huckleberry Gold,,Clone,Solanum tuberosum,,Solanaceae: Solanum tuberosum,Americas,"buttery, creamy","Matures between 70 & 80 days.    -   Potatoes prefer soil that has been amended in the
Fall ... Potatoes will remove the following soil nutrients
per 1,000 sq. ft. or per acre: (Nitrogen: 2# per 1,000 sq. ft. _ 90-100# per acre) : (Phosphorus: 1# per 1,000 sq. ft. _
40-50# per acre) : (Potassium: 3.5# per 1,000 sq. ft. _ 150-170# per acre). Fall additions of Phosphorus and
Potassium are recommended; add Nitrogen in the spring. You may cover crop your beds or leave them fallow.
Potatoes DO NOT like to be next to actively decomposing green matter or to be sitting in a puddle of water. Leave
time between tillage and planting to allow green matter to break down. Build beds high enough to provide adequate
drainage. This can be done the previous fall or allow 2-6 weeks to prepare your soil before you plant.",36,12,75,transplant,transplant,transplant
Purple Magesty,,Clone,Solanum tuberosum,,Solanaceae: Solanum tuberosum,Americas,,,36,12,NaN,transplant,transplant,transplant
Purple Peruvian,,Clone,Solanum tuberosum,,Solanaceae: Solanum tuberosum,Americas,,"Matures between 110 &  days.    -   Potatoes prefer soil that has been amended in the
Fall ... Potatoes will remove the following soil nutrients
per 1,000 sq. ft. or per acre: (Nitrogen: 2# per 1,000 sq. ft. _ 90-100# per acre) : (Phosphorus: 1# per 1,000 sq. ft. _
40-50# per acre) : (Potassium: 3.5# per 1,000 sq. ft. _ 150-170# per acre). Fall additions of Phosphorus and
Potassium are recommended; add Nitrogen in the spring. You may cover crop your beds or leave them fallow.
Potatoes DO NOT like to be next to actively decomposing green matter or to be sitting in a puddle of water. Leave
time between tillage and planting to allow green matter to break down. Build beds high enough to provide adequate
drainage. This can be done the previous fall or allow 2-6 weeks to prepare your soil before you plant.",36,12,110,transplant,transplant,transplant
