Name,Attachments,potato orders,Classification,min maturity (days),max maturity (days),D2M
Cascadia,,Cascadia (2017),,,,NaN
Clear Water Russet,image.png (https://dl.airtable.com/O5j6AiXxSwG58r2Ushir_image.png),"Clear Water Russet (2017), Clear Water Russet (2018)",,,,NaN
Dark Red Norland,image.png (https://dl.airtable.com/2JNWA5uPTOGJcS1vFUiY_image.png),"Dark Red Norland (2018), Dark Red Norland (2019), Dark Red Norland (2020)","moist,firm",55,75,65
Desiree,Screen Shot 2019-11-30 at 11_50_59.png (https://dl.airtable.com/.attachments/f43cfacdf56cc355eb9182a9ab882566/a234d0b2/ScreenShot2019-11-30at11_50_59.png),,"waxy,moist,firm",70,90,80
French Fingerling,image.png (https://dl.airtable.com/ZVn4RqbTEeTYOftkZRrw_image.png),French Fingerling (2018),,,,NaN
German Butterball,image.png (https://dl.airtable.com/spfW3tgHQrulKMR4W1IX_image.png),"German Butterball (2017), German Butterball (2019), German Butterball (2018), German Butterball (2020)",dry,100,110,105
Grocery Russet,,Grocery Russet (2018),,,,NaN
Huckleberry Gold,image.png (https://dl.airtable.com/xjJTLQTZT029Ud5172tX_image.png),"Huckleberry Gold (2017), Huckleberry Gold (2018), Huckleberry Gold (2019), Huckleberry Gold (2020)","buttery,creamy",70,80,75
Purple Magesty,image.png (https://dl.airtable.com/JNSDTanySx6Cvp4JBhfh_image.png),"Purple Magesty (2017), Purple Magesty (2018), Purple Magesty (2020)",,,,NaN
Purple Peruvian,image.png (https://dl.airtable.com/orm2JZmRVeiyhohgwh6A_image.png),Purple Peruvian (2019),,110,,110
Purple Viking,image.png (https://dl.airtable.com/52XrDLETuuiyVwgCStrE_image.png),"Purple Viking (2017), Purple Viking (2018)",,,,NaN
Red Pontiac,Screen Shot 2018-12-31 at 10.27.39.png (https://dl.airtable.com/bg1NCNz8TVSv62dr7fMt_Screen%20Shot%202018-12-31%20at%2010.27.39.png),Red Pontiac (2019),"waxy,moist",80,85,83
Rose Finn Apple,image.png (https://dl.airtable.com/78bLK2dDSkWK9eeaCNQT_image.png),Rose Finn Apple (2019),,110,,110
Russet Burbanks,,,"dry,floury",,,NaN
Russet Norkotah 278,Screen Shot 2019-11-30 at 11_53_03.png (https://dl.airtable.com/.attachments/516024a8b459871046ffc9f9ce20f286/b8cba2be/ScreenShot2019-11-30at11_53_03.png),,"dry,floury",85,90,88
Russet Norkotah PHP,image.png (https://dl.airtable.com/AvdFwxwVSXaWsCokyLO7_image.png),"Russet Norkotah PHP (2018), Russet Norkotah PHP (2019)","dry,floury",85,90,88
Sage Russet,image.png (https://dl.airtable.com/5VdKSnetSoO8Z3T7XFyt_image.png),"Sage Russet (2018), Sage Russet (2019)","dry,floury",75,85,80
Yukon Gold,,Yukon Gold (2017),,,,NaN
Yukon Nugget,image.png (https://dl.airtable.com/0QDPDYCSVa8vFjRrfaaG_image.png),Yukon Nugget (2018),,,,NaN
