Date/Time,Power Delivered (W)
03/25/2023 12:05 AM EDT,0
03/25/2023 12:10 AM EDT,0
03/25/2023 12:15 AM EDT,0
03/25/2023 12:20 AM EDT,0
03/25/2023 12:25 AM EDT,0
03/25/2023 12:30 AM EDT,0
03/25/2023 12:35 AM EDT,0
03/25/2023 12:40 AM EDT,0
03/25/2023 12:45 AM EDT,0
03/25/2023 12:50 AM EDT,0
03/25/2023 12:55 AM EDT,0
03/25/2023 01:00 AM EDT,0
03/25/2023 01:05 AM EDT,0
03/25/2023 01:10 AM EDT,0
03/25/2023 01:15 AM EDT,0
03/25/2023 01:20 AM EDT,0
03/25/2023 01:25 AM EDT,0
03/25/2023 01:30 AM EDT,0
03/25/2023 01:35 AM EDT,0
03/25/2023 01:40 AM EDT,0
03/25/2023 01:45 AM EDT,0
03/25/2023 01:50 AM EDT,0
03/25/2023 01:55 AM EDT,0
03/25/2023 02:00 AM EDT,0
03/25/2023 02:05 AM EDT,0
03/25/2023 02:10 AM EDT,0
03/25/2023 02:15 AM EDT,0
03/25/2023 02:20 AM EDT,0
03/25/2023 02:25 AM EDT,0
03/25/2023 02:30 AM EDT,0
03/25/2023 02:35 AM EDT,0
03/25/2023 02:40 AM EDT,0
03/25/2023 02:45 AM EDT,0
03/25/2023 02:50 AM EDT,0
03/25/2023 02:55 AM EDT,0
03/25/2023 03:00 AM EDT,0
03/25/2023 03:05 AM EDT,0
03/25/2023 03:10 AM EDT,0
03/25/2023 03:15 AM EDT,0
03/25/2023 03:20 AM EDT,0
03/25/2023 03:25 AM EDT,0
03/25/2023 03:30 AM EDT,0
03/25/2023 03:35 AM EDT,0
03/25/2023 03:40 AM EDT,0
03/25/2023 03:45 AM EDT,0
03/25/2023 03:50 AM EDT,0
03/25/2023 03:55 AM EDT,0
03/25/2023 04:00 AM EDT,0
03/25/2023 04:05 AM EDT,0
03/25/2023 04:10 AM EDT,0
03/25/2023 04:15 AM EDT,0
03/25/2023 04:20 AM EDT,0
03/25/2023 04:25 AM EDT,0
