Date/Time,Average Real Power (W)
04/23/2023 12:05 AM EDT,0
04/23/2023 12:10 AM EDT,0
04/23/2023 12:15 AM EDT,0
04/23/2023 12:20 AM EDT,0
04/23/2023 12:25 AM EDT,0
04/23/2023 12:30 AM EDT,0
04/23/2023 12:35 AM EDT,0
04/23/2023 12:40 AM EDT,0
04/23/2023 12:45 AM EDT,0
04/23/2023 12:50 AM EDT,0
04/23/2023 12:55 AM EDT,0
04/23/2023 01:00 AM EDT,0
04/23/2023 01:05 AM EDT,0
04/23/2023 01:10 AM EDT,0
04/23/2023 01:15 AM EDT,0
04/23/2023 01:20 AM EDT,0
04/23/2023 01:25 AM EDT,0
04/23/2023 01:30 AM EDT,0
04/23/2023 01:35 AM EDT,0
04/23/2023 01:40 AM EDT,0
04/23/2023 01:45 AM EDT,0
04/23/2023 01:50 AM EDT,0
04/23/2023 01:55 AM EDT,0
04/23/2023 02:00 AM EDT,0
04/23/2023 02:05 AM EDT,0
04/23/2023 02:10 AM EDT,0
04/23/2023 02:15 AM EDT,0
04/23/2023 02:20 AM EDT,0
04/23/2023 02:25 AM EDT,0
04/23/2023 02:30 AM EDT,0
04/23/2023 02:35 AM EDT,0
04/23/2023 02:40 AM EDT,0
04/23/2023 02:45 AM EDT,0
04/23/2023 02:50 AM EDT,0
04/23/2023 02:55 AM EDT,0
04/23/2023 03:00 AM EDT,0
04/23/2023 03:05 AM EDT,0
04/23/2023 03:10 AM EDT,0
04/23/2023 03:15 AM EDT,0
04/23/2023 03:20 AM EDT,0
04/23/2023 03:25 AM EDT,0
04/23/2023 03:30 AM EDT,0
04/23/2023 03:35 AM EDT,0
04/23/2023 03:40 AM EDT,0
04/23/2023 03:45 AM EDT,0
04/23/2023 03:50 AM EDT,0
04/23/2023 03:55 AM EDT,0
04/23/2023 04:00 AM EDT,0
04/23/2023 04:05 AM EDT,0
04/23/2023 04:10 AM EDT,0
04/23/2023 04:15 AM EDT,0
04/23/2023 04:20 AM EDT,0
04/23/2023 04:25 AM EDT,0
04/23/2023 04:30 AM EDT,0
04/23/2023 04:35 AM EDT,0
04/23/2023 04:40 AM EDT,0
04/23/2023 04:45 AM EDT,0
04/23/2023 04:50 AM EDT,0
04/23/2023 04:55 AM EDT,0
04/23/2023 05:00 AM EDT,0
04/23/2023 05:05 AM EDT,0
04/23/2023 05:10 AM EDT,0
04/23/2023 05:15 AM EDT,0
04/23/2023 05:20 AM EDT,0
04/23/2023 05:25 AM EDT,0
04/23/2023 05:30 AM EDT,0
04/23/2023 05:35 AM EDT,0
04/23/2023 05:40 AM EDT,0
04/23/2023 05:45 AM EDT,0
04/23/2023 05:50 AM EDT,0
04/23/2023 05:55 AM EDT,0
04/23/2023 06:00 AM EDT,0
04/23/2023 06:05 AM EDT,0
04/23/2023 06:10 AM EDT,0
04/23/2023 06:15 AM EDT,0
04/23/2023 06:20 AM EDT,0
04/23/2023 06:25 AM EDT,0
04/23/2023 06:30 AM EDT,0
04/23/2023 06:35 AM EDT,0
04/23/2023 06:40 AM EDT,0
04/23/2023 06:45 AM EDT,8
04/23/2023 06:50 AM EDT,24
04/23/2023 06:55 AM EDT,43
04/23/2023 07:00 AM EDT,53
04/23/2023 07:05 AM EDT,58
04/23/2023 07:10 AM EDT,76
04/23/2023 07:15 AM EDT,95
04/23/2023 07:20 AM EDT,106
04/23/2023 07:25 AM EDT,105
04/23/2023 07:30 AM EDT,114
04/23/2023 07:35 AM EDT,125
04/23/2023 07:40 AM EDT,166
04/23/2023 07:45 AM EDT,217
04/23/2023 07:50 AM EDT,246
04/23/2023 07:55 AM EDT,244
04/23/2023 08:00 AM EDT,235
04/23/2023 08:05 AM EDT,252
04/23/2023 08:10 AM EDT,270
04/23/2023 08:15 AM EDT,290
04/23/2023 08:20 AM EDT,321
04/23/2023 08:25 AM EDT,344
