Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh)
2023-08-01 00:00:00 -0400,0,0,0,0
2023-08-01 00:15:00 -0400,0,0,0,0
2023-08-01 00:30:00 -0400,0,0,0,0
2023-08-01 00:45:00 -0400,0,0,0,0
2023-08-01 01:00:00 -0400,0,0,0,0
2023-08-01 01:15:00 -0400,0,0,0,0
2023-08-01 01:30:00 -0400,0,0,0,0
2023-08-01 01:45:00 -0400,0,0,0,0
2023-08-01 02:00:00 -0400,0,0,0,0
2023-08-01 02:15:00 -0400,0,0,0,0
2023-08-01 02:30:00 -0400,0,0,0,0
2023-08-01 02:45:00 -0400,0,0,0,0
2023-08-01 03:00:00 -0400,0,0,0,0
2023-08-01 03:15:00 -0400,0,0,0,0
2023-08-01 03:30:00 -0400,0,0,0,0
2023-08-01 03:45:00 -0400,0,0,0,0
2023-08-01 04:00:00 -0400,0,0,0,0
2023-08-01 04:15:00 -0400,0,0,0,0
2023-08-01 04:30:00 -0400,0,0,0,0
2023-08-01 04:45:00 -0400,0,0,0,0
2023-08-01 05:00:00 -0400,0,0,0,0
2023-08-01 05:15:00 -0400,0,0,0,0
2023-08-01 05:30:00 -0400,0,0,0,0
2023-08-01 05:45:00 -0400,0,0,0,0
2023-08-01 06:00:00 -0400,0,0,0,0
2023-08-01 06:15:00 -0400,0,0,0,0
2023-08-01 06:30:00 -0400,0,2,0,2
2023-08-01 06:45:00 -0400,5,6,0,1
2023-08-01 07:00:00 -0400,16,20,0,4
2023-08-01 07:15:00 -0400,28,32,0,4
2023-08-01 07:30:00 -0400,46,49,0,3
2023-08-01 07:45:00 -0400,79,83,0,4
2023-08-01 08:00:00 -0400,81,84,0,3
2023-08-01 08:15:00 -0400,70,74,0,4
2023-08-01 08:30:00 -0400,75,78,0,3
2023-08-01 08:45:00 -0400,87,90,0,3
2023-08-01 09:00:00 -0400,189,190,0,1
2023-08-01 09:15:00 -0400,397,397,0,0
2023-08-01 09:30:00 -0400,650,645,5,0
2023-08-01 09:45:00 -0400,885,881,4,0
2023-08-01 10:00:00 -0400,982,977,5,0
2023-08-01 10:15:00 -0400,1028,1013,15,0
2023-08-01 10:30:00 -0400,1018,1011,7,0
2023-08-01 10:45:00 -0400,1130,1126,4,0
2023-08-01 11:00:00 -0400,1206,1196,10,0
2023-08-01 11:15:00 -0400,1238,1227,11,0
2023-08-01 11:30:00 -0400,1060,991,69,0
2023-08-01 11:45:00 -0400,1231,1279,0,48
2023-08-01 12:00:00 -0400,1335,1320,15,0
2023-08-01 12:15:00 -0400,1245,1222,23,0
2023-08-01 12:30:00 -0400,1333,1324,9,0
2023-08-01 12:45:00 -0400,1335,1314,21,0
2023-08-01 13:00:00 -0400,1233,1193,40,0
2023-08-01 13:15:00 -0400,1244,1275,0,31
2023-08-01 13:30:00 -0400,1057,1022,35,0
2023-08-01 13:45:00 -0400,1332,1317,15,0
2023-08-01 14:00:00 -0400,1112,1020,92,0
2023-08-01 14:15:00 -0400,1226,1293,0,67
2023-08-01 14:30:00 -0400,1251,1254,0,3
2023-08-01 14:45:00 -0400,1069,1057,12,0
2023-08-01 15:00:00 -0400,1127,1167,0,40
2023-08-01 15:15:00 -0400,573,475,98,0
2023-08-01 15:30:00 -0400,985,994,0,9
2023-08-01 15:45:00 -0400,711,705,6,0
2023-08-01 16:00:00 -0400,758,737,21,0
2023-08-01 16:15:00 -0400,839,844,0,5
2023-08-01 16:30:00 -0400,789,781,8,0
2023-08-01 16:45:00 -0400,703,695,8,0
2023-08-01 17:00:00 -0400,638,632,6,0
2023-08-01 17:15:00 -0400,522,514,8,0
2023-08-01 17:30:00 -0400,408,406,2,0
2023-08-01 17:45:00 -0400,237,236,1,0
2023-08-01 18:00:00 -0400,159,160,0,1
2023-08-01 18:15:00 -0400,116,120,0,4
2023-08-01 18:30:00 -0400,66,68,0,2
2023-08-01 18:45:00 -0400,52,56,0,4
2023-08-01 19:00:00 -0400,39,42,0,3
2023-08-01 19:15:00 -0400,28,34,0,6
2023-08-01 19:30:00 -0400,19,22,0,3
2023-08-01 19:45:00 -0400,9,12,0,3
2023-08-01 20:00:00 -0400,2,4,0,2
2023-08-01 20:15:00 -0400,0,0,0,0
2023-08-01 20:30:00 -0400,0,0,0,0
2023-08-01 20:45:00 -0400,0,0,0,0
2023-08-01 21:00:00 -0400,0,0,0,0
2023-08-01 21:15:00 -0400,0,0,0,0
2023-08-01 21:30:00 -0400,0,0,0,0
2023-08-01 21:45:00 -0400,0,0,0,0
2023-08-01 22:00:00 -0400,0,0,0,0
2023-08-01 22:15:00 -0400,0,0,0,0
2023-08-01 22:30:00 -0400,0,0,0,0
2023-08-01 22:45:00 -0400,0,0,0,0
2023-08-01 23:00:00 -0400,0,0,0,0
2023-08-01 23:15:00 -0400,0,0,0,0
2023-08-01 23:30:00 -0400,0,0,0,0
2023-08-01 23:45:00 -0400,0,0,0,0
2023-08-02 00:00:00 -0400,0,0,0,0
2023-08-02 00:15:00 -0400,0,0,0,0
2023-08-02 00:30:00 -0400,0,0,0,0
