Date/Time,Energy Produced (kWh)
07/01/2023,23.5
07/02/2023,33.3
07/03/2023,23.3
07/04/2023,36.3
07/05/2023,23.5
07/06/2023,28.3
07/07/2023,31.6
07/08/2023,19.8
07/09/2023,20.4
07/10/2023,18.8
07/11/2023,37.2
07/12/2023,34.6
07/13/2023,33.8
07/14/2023,18.3
07/15/2023,28.3
07/16/2023,27.3
07/17/2023,27.6
07/18/2023,33.2
07/19/2023,24.1
07/20/2023,22.1
07/21/2023,33.5
07/22/2023,16.7
07/23/2023,33.1
07/24/2023,25.9
07/25/2023,34.6
07/26/2023,36.5
07/27/2023,35.3
07/28/2023,34.6
07/29/2023,20.0
07/30/2023,26.5
07/31/2023,26.0
Total,868.0
