Date/Time,Energy Produced (kWh)
05/01/2023,30.66
05/02/2023,34.78
05/03/2023,30.00
05/04/2023,36.47
05/05/2023,37.09
05/06/2023,34.01
05/07/2023,32.27
05/08/2023,25.85
05/09/2023,32.14
05/10/2023,39.65
05/11/2023,38.56
05/12/2023,37.54
05/13/2023,22.46
05/14/2023,22.05
05/15/2023,33.56
05/16/2023,28.87
05/17/2023,37.48
05/18/2023,25.57
05/19/2023,9.58
05/20/2023,22.07
05/21/2023,17.47
05/22/2023,36.70
05/23/2023,32.41
05/24/2023,39.22
05/25/2023,23.47
05/26/2023,26.43
05/27/2023,8.04
05/28/2023,7.53
05/29/2023,10.91
05/30/2023,21.22
05/31/2023,26.22
Total,860.26
