Date/Time,Average Real Power (W)
08/01/2023 12:05 AM EDT,0
08/01/2023 12:10 AM EDT,0
08/01/2023 12:15 AM EDT,0
08/01/2023 12:20 AM EDT,0
08/01/2023 12:25 AM EDT,0
08/01/2023 12:30 AM EDT,0
08/01/2023 12:35 AM EDT,0
08/01/2023 12:40 AM EDT,0
08/01/2023 12:45 AM EDT,0
08/01/2023 12:50 AM EDT,0
08/01/2023 12:55 AM EDT,0
08/01/2023 01:00 AM EDT,0
08/01/2023 01:05 AM EDT,0
08/01/2023 01:10 AM EDT,0
08/01/2023 01:15 AM EDT,0
08/01/2023 01:20 AM EDT,0
08/01/2023 01:25 AM EDT,0
08/01/2023 01:30 AM EDT,0
08/01/2023 01:35 AM EDT,0
08/01/2023 01:40 AM EDT,0
08/01/2023 01:45 AM EDT,0
08/01/2023 01:50 AM EDT,0
08/01/2023 01:55 AM EDT,0
08/01/2023 02:00 AM EDT,0
08/01/2023 02:05 AM EDT,0
08/01/2023 02:10 AM EDT,0
08/01/2023 02:15 AM EDT,0
08/01/2023 02:20 AM EDT,0
08/01/2023 02:25 AM EDT,0
08/01/2023 02:30 AM EDT,0
08/01/2023 02:35 AM EDT,0
08/01/2023 02:40 AM EDT,0
08/01/2023 02:45 AM EDT,0
08/01/2023 02:50 AM EDT,0
08/01/2023 02:55 AM EDT,0
08/01/2023 03:00 AM EDT,0
08/01/2023 03:05 AM EDT,0
08/01/2023 03:10 AM EDT,0
08/01/2023 03:15 AM EDT,0
08/01/2023 03:20 AM EDT,0
08/01/2023 03:25 AM EDT,0
08/01/2023 03:30 AM EDT,0
08/01/2023 03:35 AM EDT,0
08/01/2023 03:40 AM EDT,0
08/01/2023 03:45 AM EDT,0
08/01/2023 03:50 AM EDT,0
08/01/2023 03:55 AM EDT,0
08/01/2023 04:00 AM EDT,0
08/01/2023 04:05 AM EDT,0
08/01/2023 04:10 AM EDT,0
08/01/2023 04:15 AM EDT,0
08/01/2023 04:20 AM EDT,0
08/01/2023 04:25 AM EDT,0
08/01/2023 04:30 AM EDT,0
08/01/2023 04:35 AM EDT,0
08/01/2023 04:40 AM EDT,0
08/01/2023 04:45 AM EDT,0
08/01/2023 04:50 AM EDT,0
08/01/2023 04:55 AM EDT,0
08/01/2023 05:00 AM EDT,0
08/01/2023 05:05 AM EDT,0
08/01/2023 05:10 AM EDT,0
08/01/2023 05:15 AM EDT,0
08/01/2023 05:20 AM EDT,0
08/01/2023 05:25 AM EDT,0
08/01/2023 05:30 AM EDT,0
08/01/2023 05:35 AM EDT,0
08/01/2023 05:40 AM EDT,0
08/01/2023 05:45 AM EDT,0
08/01/2023 05:50 AM EDT,0
08/01/2023 05:55 AM EDT,0
08/01/2023 06:00 AM EDT,0
08/01/2023 06:05 AM EDT,0
08/01/2023 06:10 AM EDT,0
08/01/2023 06:15 AM EDT,0
08/01/2023 06:20 AM EDT,0
08/01/2023 06:25 AM EDT,0
08/01/2023 06:30 AM EDT,0
08/01/2023 06:35 AM EDT,0
08/01/2023 06:40 AM EDT,0
08/01/2023 06:45 AM EDT,6
08/01/2023 06:50 AM EDT,12
08/01/2023 06:55 AM EDT,20
08/01/2023 07:00 AM EDT,33
08/01/2023 07:05 AM EDT,50
08/01/2023 07:10 AM EDT,67
08/01/2023 07:15 AM EDT,80
08/01/2023 07:20 AM EDT,92
08/01/2023 07:25 AM EDT,113
08/01/2023 07:30 AM EDT,128
08/01/2023 07:35 AM EDT,145
08/01/2023 07:40 AM EDT,172
08/01/2023 07:45 AM EDT,235
08/01/2023 07:50 AM EDT,288
08/01/2023 07:55 AM EDT,315
08/01/2023 08:00 AM EDT,345
08/01/2023 08:05 AM EDT,363
08/01/2023 08:10 AM EDT,319
08/01/2023 08:15 AM EDT,288
08/01/2023 08:20 AM EDT,287
08/01/2023 08:25 AM EDT,273
08/01/2023 08:30 AM EDT,274
08/01/2023 08:35 AM EDT,286
08/01/2023 08:40 AM EDT,299
08/01/2023 08:45 AM EDT,310
08/01/2023 08:50 AM EDT,324
08/01/2023 08:55 AM EDT,343
08/01/2023 09:00 AM EDT,377
08/01/2023 09:05 AM EDT,458
08/01/2023 09:10 AM EDT,756
08/01/2023 09:15 AM EDT,"1,056"
08/01/2023 09:20 AM EDT,"1,390"
08/01/2023 09:25 AM EDT,"1,451"
08/01/2023 09:30 AM EDT,"1,920"
08/01/2023 09:35 AM EDT,"2,263"
08/01/2023 09:40 AM EDT,"2,606"
08/01/2023 09:45 AM EDT,"2,932"
08/01/2023 09:50 AM EDT,"3,245"
08/01/2023 09:55 AM EDT,"3,559"
08/01/2023 10:00 AM EDT,"3,814"
08/01/2023 10:05 AM EDT,"3,851"
08/01/2023 10:10 AM EDT,"3,757"
08/01/2023 10:15 AM EDT,"4,174"
08/01/2023 10:20 AM EDT,"4,151"
08/01/2023 10:25 AM EDT,"4,105"
08/01/2023 10:30 AM EDT,"4,085"
08/01/2023 10:35 AM EDT,"3,873"
08/01/2023 10:40 AM EDT,"4,209"
08/01/2023 10:45 AM EDT,"4,132"
08/01/2023 10:50 AM EDT,"4,265"
08/01/2023 10:55 AM EDT,"4,644"
08/01/2023 11:00 AM EDT,"4,648"
08/01/2023 11:05 AM EDT,"4,734"
08/01/2023 11:10 AM EDT,"4,812"
08/01/2023 11:15 AM EDT,"4,929"
08/01/2023 11:20 AM EDT,"4,938"
08/01/2023 11:25 AM EDT,"4,945"
08/01/2023 11:30 AM EDT,"4,978"
08/01/2023 11:35 AM EDT,"5,030"
08/01/2023 11:40 AM EDT,"4,256"
08/01/2023 11:45 AM EDT,"3,437"
08/01/2023 11:50 AM EDT,"4,518"
08/01/2023 11:55 AM EDT,"4,936"
08/01/2023 12:00 PM EDT,"5,322"
08/01/2023 12:05 PM EDT,"5,322"
08/01/2023 12:10 PM EDT,"5,345"
08/01/2023 12:15 PM EDT,"5,355"
08/01/2023 12:20 PM EDT,"5,363"
08/01/2023 12:25 PM EDT,"4,797"
08/01/2023 12:30 PM EDT,"4,779"
08/01/2023 12:35 PM EDT,"5,271"
08/01/2023 12:40 PM EDT,"5,366"
08/01/2023 12:45 PM EDT,"5,360"
08/01/2023 12:50 PM EDT,"5,360"
08/01/2023 12:55 PM EDT,"5,358"
08/01/2023 01:00 PM EDT,"5,298"
08/01/2023 01:05 PM EDT,"5,344"
08/01/2023 01:10 PM EDT,"5,361"
08/01/2023 01:15 PM EDT,"4,086"
08/01/2023 01:20 PM EDT,"4,501"
08/01/2023 01:25 PM EDT,"5,342"
08/01/2023 01:30 PM EDT,"5,085"
08/01/2023 01:35 PM EDT,"4,094"
08/01/2023 01:40 PM EDT,"3,231"
08/01/2023 01:45 PM EDT,"5,359"
08/01/2023 01:50 PM EDT,"5,350"
08/01/2023 01:55 PM EDT,"5,330"
08/01/2023 02:00 PM EDT,"5,302"
08/01/2023 02:05 PM EDT,"5,287"
08/01/2023 02:10 PM EDT,"4,429"
08/01/2023 02:15 PM EDT,"3,626"
08/01/2023 02:20 PM EDT,"4,231"
08/01/2023 02:25 PM EDT,"5,230"
08/01/2023 02:30 PM EDT,"5,252"
08/01/2023 02:35 PM EDT,"5,297"
08/01/2023 02:40 PM EDT,"5,173"
08/01/2023 02:45 PM EDT,"4,541"
08/01/2023 02:50 PM EDT,"3,152"
08/01/2023 02:55 PM EDT,"4,737"
08/01/2023 03:00 PM EDT,"4,935"
08/01/2023 03:05 PM EDT,"4,644"
08/01/2023 03:10 PM EDT,"4,808"
08/01/2023 03:15 PM EDT,"4,075"
08/01/2023 03:20 PM EDT,"2,320"
08/01/2023 03:25 PM EDT,"1,994"
08/01/2023 03:30 PM EDT,"2,563"
08/01/2023 03:35 PM EDT,"3,255"
08/01/2023 03:40 PM EDT,"4,270"
08/01/2023 03:45 PM EDT,"4,291"
08/01/2023 03:50 PM EDT,"2,466"
08/01/2023 03:55 PM EDT,"2,525"
08/01/2023 04:00 PM EDT,"3,537"
08/01/2023 04:05 PM EDT,"3,995"
08/01/2023 04:10 PM EDT,"3,066"
08/01/2023 04:15 PM EDT,"2,030"
08/01/2023 04:20 PM EDT,"3,147"
08/01/2023 04:25 PM EDT,"3,503"
08/01/2023 04:30 PM EDT,"3,424"
08/01/2023 04:35 PM EDT,"3,254"
08/01/2023 04:40 PM EDT,"3,174"
08/01/2023 04:45 PM EDT,"3,044"
08/01/2023 04:50 PM EDT,"2,916"
08/01/2023 04:55 PM EDT,"2,813"
