Date/Time,Average Real Power (W)
05/25/2023 12:05 AM EDT,0
05/25/2023 12:10 AM EDT,0
05/25/2023 12:15 AM EDT,0
05/25/2023 12:20 AM EDT,0
05/25/2023 12:25 AM EDT,0
05/25/2023 12:30 AM EDT,0
05/25/2023 12:35 AM EDT,0
05/25/2023 12:40 AM EDT,0
05/25/2023 12:45 AM EDT,0
05/25/2023 12:50 AM EDT,0
05/25/2023 12:55 AM EDT,0
05/25/2023 01:00 AM EDT,0
05/25/2023 01:05 AM EDT,0
05/25/2023 01:10 AM EDT,0
05/25/2023 01:15 AM EDT,0
05/25/2023 01:20 AM EDT,0
05/25/2023 01:25 AM EDT,0
05/25/2023 01:30 AM EDT,0
05/25/2023 01:35 AM EDT,0
05/25/2023 01:40 AM EDT,0
05/25/2023 01:45 AM EDT,0
05/25/2023 01:50 AM EDT,0
05/25/2023 01:55 AM EDT,0
05/25/2023 02:00 AM EDT,0
05/25/2023 02:05 AM EDT,0
05/25/2023 02:10 AM EDT,0
05/25/2023 02:15 AM EDT,0
05/25/2023 02:20 AM EDT,0
05/25/2023 02:25 AM EDT,0
05/25/2023 02:30 AM EDT,0
05/25/2023 02:35 AM EDT,0
05/25/2023 02:40 AM EDT,0
05/25/2023 02:45 AM EDT,0
05/25/2023 02:50 AM EDT,0
05/25/2023 02:55 AM EDT,0
05/25/2023 03:00 AM EDT,0
05/25/2023 03:05 AM EDT,0
05/25/2023 03:10 AM EDT,0
05/25/2023 03:15 AM EDT,0
05/25/2023 03:20 AM EDT,0
05/25/2023 03:25 AM EDT,0
05/25/2023 03:30 AM EDT,0
05/25/2023 03:35 AM EDT,0
05/25/2023 03:40 AM EDT,0
05/25/2023 03:45 AM EDT,0
05/25/2023 03:50 AM EDT,0
05/25/2023 03:55 AM EDT,0
05/25/2023 04:00 AM EDT,0
05/25/2023 04:05 AM EDT,0
05/25/2023 04:10 AM EDT,0
05/25/2023 04:15 AM EDT,0
05/25/2023 04:20 AM EDT,0
05/25/2023 04:25 AM EDT,0
05/25/2023 04:30 AM EDT,0
05/25/2023 04:35 AM EDT,0
05/25/2023 04:40 AM EDT,0
05/25/2023 04:45 AM EDT,0
05/25/2023 04:50 AM EDT,0
05/25/2023 04:55 AM EDT,0
05/25/2023 05:00 AM EDT,0
05/25/2023 05:05 AM EDT,0
05/25/2023 05:10 AM EDT,0
05/25/2023 05:15 AM EDT,0
05/25/2023 05:20 AM EDT,0
05/25/2023 05:25 AM EDT,0
05/25/2023 05:30 AM EDT,0
05/25/2023 05:35 AM EDT,0
05/25/2023 05:40 AM EDT,0
05/25/2023 05:45 AM EDT,0
05/25/2023 05:50 AM EDT,0
05/25/2023 05:55 AM EDT,0
05/25/2023 06:00 AM EDT,0
05/25/2023 06:05 AM EDT,0
05/25/2023 06:10 AM EDT,0
05/25/2023 06:15 AM EDT,0
05/25/2023 06:20 AM EDT,2
05/25/2023 06:25 AM EDT,7
05/25/2023 06:30 AM EDT,21
05/25/2023 06:35 AM EDT,51
05/25/2023 06:40 AM EDT,89
05/25/2023 06:45 AM EDT,124
05/25/2023 06:50 AM EDT,161
05/25/2023 06:55 AM EDT,184
05/25/2023 07:00 AM EDT,199
05/25/2023 07:05 AM EDT,214
05/25/2023 07:10 AM EDT,223
05/25/2023 07:15 AM EDT,233
05/25/2023 07:20 AM EDT,249
05/25/2023 07:25 AM EDT,268
05/25/2023 07:30 AM EDT,284
05/25/2023 07:35 AM EDT,310
05/25/2023 07:40 AM EDT,351
05/25/2023 07:45 AM EDT,422
05/25/2023 07:50 AM EDT,471
05/25/2023 07:55 AM EDT,514
05/25/2023 08:00 AM EDT,570
05/25/2023 08:05 AM EDT,619
05/25/2023 08:10 AM EDT,648
05/25/2023 08:15 AM EDT,649
05/25/2023 08:20 AM EDT,620
05/25/2023 08:25 AM EDT,574
05/25/2023 08:30 AM EDT,549
05/25/2023 08:35 AM EDT,576
05/25/2023 08:40 AM EDT,621
05/25/2023 08:45 AM EDT,699
05/25/2023 08:50 AM EDT,818
05/25/2023 08:55 AM EDT,979
05/25/2023 09:00 AM EDT,"1,167"
05/25/2023 09:05 AM EDT,"1,411"
05/25/2023 09:10 AM EDT,"1,447"
05/25/2023 09:15 AM EDT,"1,223"
05/25/2023 09:20 AM EDT,"1,226"
05/25/2023 09:25 AM EDT,"1,265"
05/25/2023 09:30 AM EDT,"1,153"
05/25/2023 09:35 AM EDT,"1,253"
05/25/2023 09:40 AM EDT,"1,613"
05/25/2023 09:45 AM EDT,"2,652"
05/25/2023 09:50 AM EDT,"2,631"
05/25/2023 09:55 AM EDT,"2,185"
05/25/2023 10:00 AM EDT,"1,986"
05/25/2023 10:05 AM EDT,"2,408"
05/25/2023 10:10 AM EDT,"3,141"
05/25/2023 10:15 AM EDT,"3,069"
05/25/2023 10:20 AM EDT,"2,641"
05/25/2023 10:25 AM EDT,"3,396"
05/25/2023 10:30 AM EDT,"3,218"
05/25/2023 10:35 AM EDT,"3,618"
05/25/2023 10:40 AM EDT,"3,510"
05/25/2023 10:45 AM EDT,"3,945"
05/25/2023 10:50 AM EDT,"4,323"
05/25/2023 10:55 AM EDT,"3,627"
05/25/2023 11:00 AM EDT,"2,418"
05/25/2023 11:05 AM EDT,"2,129"
05/25/2023 11:10 AM EDT,"2,229"
05/25/2023 11:15 AM EDT,"2,301"
05/25/2023 11:20 AM EDT,"2,373"
05/25/2023 11:25 AM EDT,"4,307"
05/25/2023 11:30 AM EDT,"4,623"
05/25/2023 11:35 AM EDT,"5,089"
05/25/2023 11:40 AM EDT,"4,914"
05/25/2023 11:45 AM EDT,"4,621"
05/25/2023 11:50 AM EDT,"4,657"
05/25/2023 11:55 AM EDT,"4,392"
05/25/2023 12:00 PM EDT,"3,125"
05/25/2023 12:05 PM EDT,"3,904"
