Date/Time,Energy Produced (Wh)
06/01/2023,"21,028"
06/02/2023,"35,265"
06/03/2023,"37,769"
06/04/2023,"15,308"
06/05/2023,"37,036"
06/06/2023,"31,258"
06/07/2023,"8,398"
06/08/2023,"35,599"
06/09/2023,"37,710"
06/10/2023,"36,626"
06/11/2023,"32,757"
06/12/2023,"24,256"
06/13/2023,"29,797"
06/14/2023,"35,522"
06/15/2023,"27,239"
06/16/2023,"32,189"
06/17/2023,"37,616"
06/18/2023,"36,532"
06/19/2023,"20,029"
06/20/2023,"9,589"
06/21/2023,"11,571"
06/22/2023,"11,717"
06/23/2023,"19,669"
06/24/2023,"24,200"
06/25/2023,"33,369"
06/26/2023,"33,831"
06/27/2023,"33,234"
06/28/2023,"35,661"
06/29/2023,"35,696"
06/30/2023,"25,448"
07/01/2023,"23,466"
07/02/2023,"33,294"
07/03/2023,"23,299"
07/04/2023,"36,298"
07/05/2023,"23,459"
07/06/2023,"28,263"
07/07/2023,"31,642"
07/08/2023,"19,803"
07/09/2023,"20,442"
07/10/2023,"18,826"
07/11/2023,"37,242"
07/12/2023,"34,620"
07/13/2023,"33,814"
07/14/2023,"18,255"
07/15/2023,"28,277"
07/16/2023,"27,343"
07/17/2023,"27,613"
07/18/2023,"33,206"
07/19/2023,"24,131"
07/20/2023,"22,139"
07/21/2023,"33,524"
07/22/2023,"16,657"
07/23/2023,"33,089"
07/24/2023,"25,890"
07/25/2023,"34,558"
07/26/2023,"36,480"
07/27/2023,"35,257"
07/28/2023,"34,630"
07/29/2023,"19,952"
07/30/2023,"26,508"
07/31/2023,"26,001"
08/01/2023,"35,052"
08/02/2023,"31,854"
08/03/2023,"7,349"
08/04/2023,"7,186"
08/05/2023,"32,993"
08/06/2023,"33,462"
08/07/2023,"15,011"
08/08/2023,"26,666"
08/09/2023,"30,826"
08/10/2023,"15,448"
08/11/2023,"26,010"
08/12/2023,"34,245"
08/13/2023,"35,550"
08/14/2023,"28,217"
08/15/2023,"28,671"
08/16/2023,"34,907"
08/17/2023,"24,797"
08/18/2023,"28,541"
08/19/2023,"34,885"
08/20/2023,"33,914"
08/21/2023,"28,433"
08/22/2023,"27,748"
08/23/2023,"33,826"
08/24/2023,"22,625"
08/25/2023,"22,886"
08/26/2023,"29,147"
08/27/2023,"26,285"
08/28/2023,"18,708"
08/29/2023,"17,571"
08/30/2023,"11,084"
08/31/2023,"31,366"
09/01/2023,"32,876"
09/02/2023,"32,506"
09/03/2023,"31,340"
09/04/2023,"30,491"
09/05/2023,"30,066"
09/06/2023,"29,235"
09/07/2023,"26,388"
09/08/2023,"27,233"
09/09/2023,"5,780"
09/10/2023,"22,221"
09/11/2023,"27,553"
09/12/2023,"20,670"
09/13/2023,"17,783"
09/14/2023,"26,096"
09/15/2023,"28,631"
09/16/2023,"27,325"
09/17/2023,"6,051"
09/18/2023,"24,526"
09/19/2023,"23,536"
09/20/2023,"23,542"
09/21/2023,"19,547"
09/22/2023,"8,131"
09/23/2023,"3,800"
09/24/2023,"19,503"
09/25/2023,"19,163"
09/26/2023,"8,331"
09/27/2023,"7,127"
09/28/2023,"19,035"
09/29/2023,"7,406"
09/30/2023,"9,727"
10/01/2023,"16,007"
10/02/2023,"18,025"
10/03/2023,"14,968"
10/04/2023,"16,045"
10/05/2023,"13,606"
10/06/2023,"9,370"
10/07/2023,"16,352"
10/08/2023,"16,569"
10/09/2023,"16,219"
10/10/2023,"12,121"
10/11/2023,"10,553"
10/12/2023,"10,241"
10/13/2023,"13,913"
10/14/2023,"3,977"
10/15/2023,"9,558"
10/16/2023,"12,072"
10/17/2023,"11,981"
10/18/2023,"11,600"
10/19/2023,"10,587"
10/20/2023,"7,616"
10/21/2023,"9,254"
10/22/2023,"9,155"
10/23/2023,"8,290"
10/24/2023,"7,793"
10/25/2023,"7,214"
10/26/2023,"7,452"
10/27/2023,"7,408"
10/28/2023,"6,801"
10/29/2023,"7,011"
10/30/2023,"6,640"
10/31/2023,"1,318"
11/01/2023,"7,451"
11/02/2023,"6,442"
11/03/2023,"5,927"
11/04/2023,"5,572"
11/05/2023,"8,536"
11/06/2023,"5,335"
11/07/2023,"5,470"
11/08/2023,"4,864"
11/09/2023,"5,439"
11/10/2023,"3,294"
11/11/2023,"3,478"
11/12/2023,"7,004"
11/13/2023,"3,790"
11/14/2023,"4,656"
11/15/2023,"7,902"
11/16/2023,"3,094"
11/17/2023,"7,338"
11/18/2023,"2,887"
11/19/2023,"2,779"
11/20/2023,"5,036"
11/21/2023,"1,299"
11/22/2023,"4,958"
11/23/2023,"2,777"
11/24/2023,"6,001"
11/25/2023,"3,570"
11/26/2023,"5,982"
11/27/2023,"2,758"
11/28/2023,"4,776"
11/29/2023,"2,873"
11/30/2023,"3,885"
12/01/2023,"5,281"
12/02/2023,"3,141"
12/03/2023,"3,266"
12/04/2023,"3,976"
12/05/2023,"2,790"
12/06/2023,"4,400"
12/07/2023,"2,629"
12/08/2023,"5,880"
12/09/2023,"5,640"
12/10/2023,"1,301"
12/11/2023,"6,058"
12/12/2023,"2,648"
12/13/2023,"5,148"
12/14/2023,"2,634"
12/15/2023,"2,599"
12/16/2023,"6,490"
12/17/2023,232
12/18/2023,"2,702"
12/19/2023,"2,792"
12/20/2023,"2,758"
12/21/2023,"4,680"
12/22/2023,"4,574"
12/23/2023,"6,469"
12/24/2023,"3,055"
12/25/2023,"4,720"
12/26/2023,"3,195"
12/27/2023,"3,308"
12/28/2023,"5,884"
12/29/2023,"5,371"
12/30/2023,"5,210"
12/31/2023,"2,697"
Total,"3,741,196"
