Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh)
2023-09-01 00:00:00 -0400,0,0,0,0
2023-09-01 00:15:00 -0400,0,0,0,0
2023-09-01 00:30:00 -0400,0,0,0,0
2023-09-01 00:45:00 -0400,0,0,0,0
2023-09-01 01:00:00 -0400,0,0,0,0
2023-09-01 01:15:00 -0400,0,0,0,0
2023-09-01 01:30:00 -0400,0,0,0,0
2023-09-01 01:45:00 -0400,0,0,0,0
2023-09-01 02:00:00 -0400,0,0,0,0
2023-09-01 02:15:00 -0400,0,0,0,0
2023-09-01 02:30:00 -0400,0,0,0,0
2023-09-01 02:45:00 -0400,0,0,0,0
2023-09-01 03:00:00 -0400,0,0,0,0
2023-09-01 03:15:00 -0400,0,0,0,0
2023-09-01 03:30:00 -0400,0,0,0,0
2023-09-01 03:45:00 -0400,0,0,0,0
2023-09-01 04:00:00 -0400,0,0,0,0
2023-09-01 04:15:00 -0400,0,0,0,0
2023-09-01 04:30:00 -0400,0,0,0,0
2023-09-01 04:45:00 -0400,0,0,0,0
2023-09-01 05:00:00 -0400,0,0,0,0
2023-09-01 05:15:00 -0400,0,0,0,0
2023-09-01 05:30:00 -0400,0,0,0,0
2023-09-01 05:45:00 -0400,0,0,0,0
2023-09-01 06:00:00 -0400,0,0,0,0
2023-09-01 06:15:00 -0400,0,0,0,0
2023-09-01 06:30:00 -0400,0,0,0,0
2023-09-01 06:45:00 -0400,0,0,0,0
2023-09-01 07:00:00 -0400,3,4,0,1
2023-09-01 07:15:00 -0400,9,11,0,2
2023-09-01 07:30:00 -0400,16,20,0,4
2023-09-01 07:45:00 -0400,23,27,0,4
2023-09-01 08:00:00 -0400,33,36,0,3
2023-09-01 08:15:00 -0400,41,44,0,3
2023-09-01 08:30:00 -0400,64,68,0,4
2023-09-01 08:45:00 -0400,153,156,0,3
2023-09-01 09:00:00 -0400,257,256,1,0
2023-09-01 09:15:00 -0400,479,477,2,0
2023-09-01 09:30:00 -0400,749,746,3,0
2023-09-01 09:45:00 -0400,859,853,6,0
2023-09-01 10:00:00 -0400,854,846,8,0
2023-09-01 10:15:00 -0400,868,860,8,0
2023-09-01 10:30:00 -0400,762,752,10,0
2023-09-01 10:45:00 -0400,864,858,6,0
2023-09-01 11:00:00 -0400,967,962,5,0
2023-09-01 11:15:00 -0400,993,984,9,0
2023-09-01 11:30:00 -0400,1074,1062,12,0
2023-09-01 11:45:00 -0400,1152,1141,11,0
